,Quarter,Tm,Detail,PRV,GNB
0,1.0,Packers,Wuert Engelmann unknown yard pass from Red Dunn (Red Dunn kick),0,7
1,1.0,Packers,Wuert Engelmann 32 yard pass from Red Dunn (Red Dunn kick),0,14
2,1.0,Packers,Wuert Engelmann 85 yard kickoff return (Red Dunn kick),0,21
3,2.0,Steam Roller,Oran Pape 1 yard rush (Deck Shelley kick),7,21
4,2.0,Packers,Lavvie Dilweg unknown yard touchdown on a lateral (Roger Grove kick),7,28
5,3.0,Steam Roller,Oran Pape unknown yard pass from Deck Shelley,13,28
6,3.0,Steam Roller,Oran Pape 6 yard pass from Deck Shelley (Deck Shelley kick),20,28
7,4.0,Packers,Mule Wilson 45 yard rush,20,34
8,4.0,Packers,Bo Molenda 4 yard rush (Bo Molenda kick),20,41
9,4.0,Packers,Roger Grove 40 yard pass from Bo Molenda (Bo Molenda kick),20,48
