,Quarter,Tm,Detail,DET,PHI
0,1.0,Eagles/Steelers,Johnny Butler 9 yard rush (Roy Zimmerman kick),0,7
1,2.0,Eagles/Steelers,Jack Hinkle 1 yard rush (Roy Zimmerman kick),0,14
2,2.0,Lions,Ned Mathews 98 yard kickoff return (Augie Lio kick),7,14
3,2.0,Lions,Elmer Hackney 1 yard rush (Augie Lio kick),13,14
4,3.0,Lions,Harry Hopp 88 yard touchdown on a lateral (Augie Lio kick),20,14
5,3.0,Eagles/Steelers,Bob Thurbon 2 yard rush (Roy Zimmerman kick),20,21
6,4.0,Lions,Art Van Tone 72 yard pass from Chuck Fenenbock (Augie Lio kick),27,21
7,4.0,Eagles/Steelers,Larry Cabrelli 6 yard pass from Roy Zimmerman (Roy Zimmerman kick),27,28
8,4.0,Eagles/Steelers,Roy Zimmerman 2 yard rush (Roy Zimmerman kick),27,35
9,4.0,Lions,Harry Hopp 1 yard rush,34,35
