,Quarter,Tm,Detail,CHI,GNB
0,1.0,Packers,Lou Brock 52 yard pass from Irv Comp (Don Hutson kick),0,7
1,1.0,Packers,Irv Comp 9 yard rush (Don Hutson kick),0,14
2,2.0,Packers,Ted Fritsch 1 yard rush (Don Hutson kick),0,21
3,2.0,Packers,Don Hutson 26 yard pass from Irv Comp (Don Hutson kick),0,28
4,2.0,Bears,Ray McLean 50 yard touchdown on a lateral (Pete Gudauskas kick),7,28
5,3.0,Bears,George Wilson 7 yard pass from Sid Luckman (Pete Gudauskas kick),14,28
6,4.0,Bears,George Wilson 3 yard pass from Sid Luckman (Pete Gudauskas kick),21,28
7,4.0,Bears,Bob Margarita 5 yard rush (Pete Gudauskas kick),28,28
8,4.0,Packers,Lou Brock 42 yard rush (Don Hutson kick),28,35
9,4.0,Packers,Ted Fritsch 50 yard interception return (Don Hutson kick),28,42
