,Quarter,Tm,Detail,DET,GNB
0,2.0,Lions,Chuck Fenenbock 8 yard rush (Bill Callihan kick),7,0
1,2.0,Packers,Don Hutson 56 yard pass from Roy McKay (Don Hutson kick),7,7
2,2.0,Packers,Clyde Goodnight 41 yard pass from Irv Comp (Don Hutson kick),7,14
3,2.0,Packers,Don Hutson 46 yard pass from Roy McKay (Don Hutson kick),7,21
4,2.0,Packers,Don Hutson 17 yard pass from Roy McKay,7,27
5,2.0,Packers,Ted Fritsch 69 yard interception return (Don Hutson kick),7,34
6,2.0,Packers,Don Hutson 6 yard pass from Roy McKay (Don Hutson kick),7,41
7,3.0,Lions,Bob Westfall 7 yard rush (Bill Callihan kick),14,41
8,3.0,Packers,"Safety, Ryan tackled by Goodnight in end zone",14,43
9,3.0,Packers,Irv Comp 50 yard pass from Lou Brock (Don Hutson kick),14,50
10,4.0,Packers,Charley Brock 33 yard interception return (Don Hutson kick),14,57
11,4.0,Lions,John Greene 62 yard pass from Dave Ryan (Bill Callihan kick),21,57
