,Quarter,Tm,Detail,NYY,RAM
0,1.0,Rams,Dick Hoerner 18 yard pass from Bob Waterfield (Bob Waterfield kick),0,7
1,2.0,Yanks,George Ratterman 1 yard rush (Chet Adams kick),7,7
2,2.0,Rams,Tom Fears 33 yard pass from Norm Van Brocklin (Bob Waterfield kick),7,14
3,2.0,Rams,Jerry Williams 5 yard pass from Norm Van Brocklin (Bob Waterfield kick),7,21
4,2.0,Rams,Dan Towler 1 yard rush (Bob Waterfield kick),7,28
5,3.0,Rams,Vitamin Smith 13 yard rush (Bob Waterfield kick),7,35
6,3.0,Yanks,Dan Edwards 28 yard pass from John Rauch (Pete Layden kick),14,35
7,3.0,Yanks,Art Weiner 58 yard pass from George Ratterman (Pete Layden kick),21,35
8,4.0,Rams,Bob Waterfield 32 yard field goal,21,38
9,4.0,Yanks,Dan Edwards 82 yard pass from John Rauch (Pete Layden kick),28,38
10,4.0,Rams,Glenn Davis 43 yard pass from Norm Van Brocklin (Bob Waterfield kick),28,45
