,Quarter,Tm,Detail,CHI,SFO
0,1.0,49ers,Bruno Banducci 11 yard pass from Frankie Albert (Gordie Soltau kick),0,7
1,1.0,Bears,George Blanda 34 yard field goal,3,7
2,2.0,49ers,Norm Standlee 1 yard rush (Gordie Soltau kick),3,14
3,2.0,Bears,"Safety, Albert tackled in end zone by Serini",5,14
4,2.0,Bears,Ken Kavanaugh fumble recovery in end zone (Johnny Lujack kick),12,14
5,3.0,Bears,Julie Rykovich 15 yard rush (Johnny Lujack kick),19,14
6,3.0,Bears,George Blanda 28 yard field goal,22,14
7,3.0,Bears,Bones Weatherly 23 yard interception return (Johnny Lujack kick),29,14
8,4.0,Bears,George Blanda 40 yard field goal,32,14
9,4.0,49ers,Frankie Albert 1 yard rush,32,20
