,Quarter,Tm,Detail,CRD,WAS
0,1.0,Cardinals,Elmer Angsman 2 yard rush (Pat Harder kick),7,0
1,1.0,Redskins,Hugh Taylor 20 yard pass from Harry Gilmer (Bill Dudley kick),7,7
2,1.0,Cardinals,Pat Harder 31 yard field goal,10,7
3,2.0,Cardinals,Tom Wham 41 yard fumble return (Pat Harder kick),17,7
4,2.0,Redskins,Hugh Taylor 33 yard pass from Harry Gilmer (Bill Dudley kick),17,14
5,2.0,Cardinals,Bob Shaw 65 yard pass from Frank Tripucka (Pat Harder kick),24,14
6,2.0,Cardinals,Charley Trippi 8 yard rush (Pat Harder kick),31,14
7,2.0,Cardinals,Fran Polsfoot 81 yard pass from Frank Tripucka (Pat Harder kick),38,14
8,3.0,Redskins,Rob Goode 2 yard rush (Bill Dudley kick),38,21
9,4.0,Redskins,Hugh Taylor 45 yard pass from Harry Gilmer (Bill Dudley kick),38,28
