,Quarter,Tm,Detail,CHI,NYY
0,1.0,Bears,Ken Kavanaugh 67 yard pass from Johnny Lujack (Johnny Lujack kick),7,0
1,1.0,Bears,Johnny Lujack 9 yard rush,13,0
2,1.0,Yanks,Zollie Toth 2 yard rush (Chet Adams kick),13,7
3,2.0,Yanks,George Ratterman 1 yard rush (Chet Adams kick),13,14
4,2.0,Yanks,Art Weiner 58 yard pass from George Ratterman (Chet Adams kick),13,21
5,4.0,Yanks,Barney Poole 52 yard pass from George Ratterman (Chet Adams kick),13,28
6,4.0,Bears,Julie Rykovich 3 yard rush (Johnny Lujack kick),20,28
7,4.0,Bears,George Gulyanics 9 yard rush (Johnny Lujack kick),27,28
8,4.0,Yanks,Sherman Howard 5 yard rush (Chet Adams kick),27,35
9,4.0,Yanks,Chet Adams 20 yard field goal,27,38
