,Quarter,Tm,Detail,GNB,DET
0,1.0,Lions,Doak Walker 20 yard field goal,0,3
1,1.0,Packers,Carl Elliott 15 yard pass from Tobin Rote (Fred Cone kick),7,3
2,1.0,Lions,Bob Hoernschemeyer 17 yard pass from Bobby Layne (Doak Walker kick),7,10
3,1.0,Packers,Tobin Rote 1 yard rush (Fred Cone kick),14,10
4,2.0,Packers,Dom Moselle 48 yard pass from Tobin Rote (Fred Cone kick),21,10
5,2.0,Lions,Leon Hart 33 yard pass from Bobby Layne (Doak Walker kick),21,17
6,2.0,Lions,Doak Walker 35 yard pass from Bobby Layne (Doak Walker kick),21,24
7,2.0,Lions,Leon Hart 19 yard pass from Bobby Layne (Doak Walker kick),21,31
8,3.0,Lions,Bob Hoernschemeyer 85 yard rush (Doak Walker kick),21,38
9,3.0,Packers,Ray Pelfrey 42 yard pass from Tobin Rote (Fred Cone kick),28,38
10,3.0,Lions,Jack Christiansen 71 yard punt return (Doak Walker kick),28,45
11,3.0,Lions,Jack Christiansen 89 yard punt return (Doak Walker kick),28,52
12,4.0,Packers,Carl Elliott 35 yard pass from Bobby Thomason (Fred Cone kick),35,52
