,Quarter,Tm,Detail,CHI,DET
0,1.0,Lions,Cloyce Box 29 yard pass from Bobby Layne (Pat Harder kick),0,7
1,1.0,Lions,Cloyce Box 28 yard pass from Bobby Layne (Pat Harder kick),0,14
2,1.0,Bears,Billy Stone 1 yard rush (George Blanda kick),7,14
3,2.0,Lions,Cloyce Box 25 yard pass from Bobby Layne (Pat Harder kick),7,21
4,2.0,Bears,Bill McColl 8 yard pass from George Blanda (George Blanda kick),14,21
5,3.0,Lions,Pat Harder 11 yard field goal,14,24
6,3.0,Lions,Jim Doran 11 yard pass from Bobby Layne (Pat Harder kick),14,31
7,4.0,Lions,Byron Bailey 6 yard rush (Pat Harder kick),14,38
8,4.0,Lions,Jack Christiansen 18 yard rush (Pat Harder kick),14,45
9,4.0,Bears,Fred Morrison 1 yard rush (George Blanda kick),21,45
