,Quarter,Tm,Detail,RAM,SFO
0,1.0,Rams,Bob Boyd 66 yard pass from Norm Van Brocklin (Ben Agajanian kick),7,0
1,1.0,Rams,Ben Agajanian 22 yard field goal,10,0
2,2.0,Rams,Elroy Hirsch 7 yard pass from Norm Van Brocklin (Ben Agajanian kick),17,0
3,2.0,Rams,Ben Agajanian 37 yard field goal,20,0
4,2.0,49ers,Billy Wilson 3 yard pass from Y.A. Tittle (Gordie Soltau kick),20,7
5,3.0,49ers,Joe Perry 11 yard pass from Hugh McElhenny (Gordie Soltau kick),20,14
6,3.0,Rams,Tank Younger 1 yard rush (Ben Agajanian kick),27,14
7,3.0,49ers,Joe Perry 11 yard rush (Gordie Soltau kick),27,21
8,4.0,49ers,Billy Mixon 1 yard rush (Gordie Soltau kick),27,28
9,4.0,Rams,Ben Agajanian 17 yard field goal,30,28
10,4.0,49ers,Gordie Soltau 12 yard field goal,30,31
