,Quarter,Tm,Detail,DET,RAM
0,1.0,Lions,Doak Walker 38 yard field goal,3,0
1,1.0,Lions,Jack Christiansen 92 yard interception return (Doak Walker kick),10,0
2,2.0,Rams,Skeets Quinlan 5 yard rush,10,6
3,2.0,Rams,Ben Agajanian 18 yard field goal,10,9
4,2.0,Lions,Leon Hart 3 yard pass from Bobby Layne (Doak Walker kick),17,9
5,3.0,Rams,Skeets Quinlan 74 yard rush (Ben Agajanian kick),17,16
6,3.0,Rams,Woodley Lewis 45 yard interception return (Ben Agajanian kick),17,23
7,3.0,Rams,Jack Dwyer 31 yard interception return (Ben Agajanian kick),17,30
8,4.0,Rams,Vitamin Smith 54 yard pass from Norm Van Brocklin (Ben Agajanian kick),17,37
9,4.0,Lions,Bob Hoernschemeyer 1 yard rush (Doak Walker kick),24,37
