,Quarter,Tm,Detail,DET,SFO
0,1.0,49ers,Hugh McElhenny 60 yard rush (Gordie Soltau kick),0,7
1,1.0,49ers,Gordie Soltau 20 yard field goal,0,10
2,1.0,49ers,John Henry Johnson 11 yard rush (Gordie Soltau kick),0,17
3,2.0,Lions,Jim Doran 7 yard pass from Bobby Layne (Doak Walker kick),7,17
4,2.0,49ers,Billy Wilson 8 yard pass from Y.A. Tittle (Gordie Soltau kick),7,24
5,2.0,Lions,Doak Walker 36 yard field goal,10,24
6,3.0,Lions,Jim Doran 3 yard pass from Tom Dublinski (Doak Walker kick),17,24
7,3.0,49ers,John Henry Johnson 1 yard rush (Gordie Soltau kick),17,31
8,4.0,49ers,Billy Wilson 37 yard pass from Y.A. Tittle,17,37
9,4.0,Lions,Bob Hoernschemeyer 1 yard rush (Doak Walker kick),24,37
10,4.0,Lions,Doak Walker 12 yard pass from Tom Dublinski (Doak Walker kick),31,37
