,Quarter,Tm,Detail,RAM,SFO
0,1.0,Rams,Skeets Quinlan 14 yard rush (Les Richter kick),7,0
1,1.0,49ers,Gordie Soltau 18 yard field goal,7,3
2,1.0,49ers,Joe Perry 56 yard rush (Gordie Soltau kick),7,10
3,1.0,49ers,John Henry Johnson 37 yard rush (Gordie Soltau kick),7,17
4,2.0,Rams,Skeets Quinlan 11 yard rush (Les Richter kick),14,17
5,2.0,49ers,Gordie Soltau 28 yard field goal,14,20
6,2.0,Rams,Elroy Hirsch 28 yard pass from Norm Van Brocklin (Les Richter kick),21,20
7,3.0,Rams,Bob Boyd 14 yard pass from Norm Van Brocklin (Les Richter kick),28,20
8,3.0,Rams,Elroy Hirsch 46 yard pass from Norm Van Brocklin (Les Richter kick),35,20
9,4.0,49ers,John Henry Johnson 2 yard rush (Gordie Soltau kick),35,27
10,4.0,49ers,Gordie Soltau 10 yard pass from Y.A. Tittle (Gordie Soltau kick),35,34
11,4.0,Rams,Tank Younger 5 yard rush (Les Richter kick),42,34
