,Quarter,Tm,Detail,WAS,CLE
0,1.0,Browns,Lou Groza 11 yard field goal,0,3
1,1.0,Browns,Lou Groza 43 yard field goal,0,6
2,1.0,Browns,Otto Graham 5 yard rush (Lou Groza kick),0,13
3,2.0,Redskins,Vic Janowicz 37 yard field goal,3,13
4,2.0,Browns,Maurice Bassett 9 yard rush (Lou Groza kick),3,20
5,2.0,Browns,Dub Jones 48 yard pass from George Ratterman (Lou Groza kick),3,27
6,3.0,Browns,Pete Brewster 16 yard pass from George Ratterman (Lou Groza kick),3,34
7,3.0,Browns,Dante Lavelli 28 yard pass from George Ratterman (Lou Groza kick),3,41
8,3.0,Browns,Fred Morrison 1 yard rush (Ken Konz kick),3,48
9,4.0,Browns,Pete Brewster 9 yard pass from Otto Graham (Ken Konz kick),3,55
10,4.0,Browns,Ken Gorgal 53 yard interception return (Ken Konz kick),3,62
