,Quarter,Tm,Detail,CHI,GNB
0,1.0,Bears,Rick Casares 9 yard pass from Ed Brown (George Blanda kick),7,0
1,1.0,Packers,Al Carmichael 106 yard kickoff return (Fred Cone kick),7,7
2,1.0,Bears,George Blanda 29 yard field goal,10,7
3,2.0,Bears,George Blanda 41 yard field goal,13,7
4,2.0,Packers,Billy Howton 6 yard pass from Tobin Rote (Fred Cone kick),13,14
5,2.0,Bears,Ed Brown 3 yard fumble return (George Blanda kick),20,14
6,3.0,Bears,Rick Casares 14 yard rush (George Blanda kick),27,14
7,4.0,Packers,Billy Howton 16 yard pass from Tobin Rote (Fred Cone kick),27,21
8,4.0,Bears,George Blanda 11 yard field goal,30,21
9,4.0,Bears,Bill McColl 9 yard pass from Ed Brown (George Blanda kick),37,21
