,Quarter,Tm,Detail,RAM,GNB
0,1.0,Packers,Fred Cone 39 yard field goal,0,3
1,1.0,Packers,Don McIlhenny 14 yard pass from Bart Starr (Fred Cone kick),0,10
2,2.0,Rams,Paige Cothren 13 yard field goal,3,10
3,2.0,Packers,Al Carmichael 4 yard rush (Fred Cone kick),3,17
4,2.0,Packers,Bobby Dillon 55 yard interception return (Fred Cone kick),3,24
5,3.0,Rams,Bob Boyd 20 yard pass from Norm Van Brocklin (Paige Cothren kick),10,24
6,3.0,Rams,Tank Younger 1 yard rush (Paige Cothren kick),17,24
7,4.0,Rams,Jon Arnett 68 yard rush (Paige Cothren kick),24,24
8,4.0,Packers,Fred Cone 32 yard field goal,24,27
9,4.0,Rams,Lamar Lundy 34 yard pass from Norm Van Brocklin (Paige Cothren kick),31,27
