,Quarter,Tm,Detail,GNB,SFO
0,1.0,49ers,Billy Wilson 44 yard pass from Y.A. Tittle (Gordie Soltau kick),0,7
1,1.0,49ers,Joe Perry 2 yard rush,0,13
2,1.0,49ers,Clyde Conner 10 yard pass from Y.A. Tittle (Gordie Soltau kick),0,20
3,1.0,49ers,Billy Wilson 22 yard pass from Y.A. Tittle (Gordie Soltau kick),0,27
4,2.0,49ers,Bill Jessup 26 yard pass from John Brodie (Gordie Soltau kick),0,34
5,2.0,Packers,Joe Johnson 32 yard pass from Babe Parilli (Paul Hornung kick),7,34
6,3.0,49ers,J.D. Smith 80 yard rush (Gordie Soltau kick),7,41
7,3.0,49ers,James Pace 3 yard rush (Gordie Soltau kick),7,48
8,3.0,Packers,Billy Howton 7 yard pass from Babe Parilli (Paul Hornung kick),14,48
9,4.0,Packers,Steve Meilinger 5 yard pass from Joe Francis (Paul Hornung kick),21,48
