,Quarter,Tm,Detail,GNB,RAM
0,1.0,Packers,Joe Francis 1 yard rush (Paul Hornung kick),7,0
1,2.0,Rams,Del Shofner 43 yard pass from Billy Wade (Paige Cothren kick),7,7
2,2.0,Packers,Max McGee 50 yard pass from Joe Francis (Paul Hornung kick),14,7
3,2.0,Rams,Jon Arnett 75 yard pass from Billy Wade (Paige Cothren kick),14,14
4,2.0,Rams,Paige Cothren 10 yard field goal,14,17
5,2.0,Rams,Tommy Wilson 4 yard rush (Paige Cothren kick),14,24
6,3.0,Packers,Paul Hornung 30 yard field goal,17,24
7,3.0,Rams,Paige Cothren 21 yard field goal,17,27
8,4.0,Packers,Paul Hornung 21 yard field goal,20,27
9,4.0,Rams,Tommy Wilson 2 yard rush (Paige Cothren kick),20,34
