,Quarter,Tm,Detail,CRD,DET
0,1.0,Lions,Tobin Rote 9 yard rush (Gerry Perry kick),0,7
1,1.0,Lions,Gerry Perry 12 yard field goal,0,10
2,2.0,Lions,Yale Lary 28 yard fumble return (Gerry Perry kick),0,17
3,2.0,Cardinals,John David Crow 1 yard rush (Bobby Joe Conrad kick),7,17
4,2.0,Lions,Dave Middleton 13 yard pass from Tobin Rote (Gerry Perry kick),7,24
5,3.0,Lions,Jim Gibbons 33 yard pass from Earl Morrall (Gerry Perry kick),7,31
6,4.0,Lions,Terry Barr 32 yard rush (Gerry Perry kick),7,38
7,4.0,Cardinals,John David Crow 36 yard pass from M.C. Reynolds (Bobby Joe Conrad kick),14,38
8,4.0,Lions,Jim Doran fumble recovery in end zone (Gerry Perry kick),14,45
9,4.0,Cardinals,Woodley Lewis 20 yard pass from M.C. Reynolds (Bobby Joe Conrad kick),21,45
