,Quarter,Tm,Detail,NYG,PHI
0,1.0,Eagles,Tommy McDonald 33 yard pass from Norm Van Brocklin (Bobby Walston kick),0,7
1,2.0,Eagles,Tommy McDonald 55 yard pass from Norm Van Brocklin (Bobby Walston kick),0,14
2,2.0,Eagles,Tommy McDonald 81 yard punt return (Bobby Walston kick),0,21
3,2.0,Giants,Frank Gifford 5 yard rush (Pat Summerall kick),7,21
4,3.0,Eagles,Norm Van Brocklin 1 yard rush (Bobby Walston kick),7,28
5,3.0,Eagles,Theron Sapp 1 yard rush (Bobby Walston kick),7,35
6,3.0,Eagles,Chuck Weber fumble recovery in end zone (Bobby Walston kick),7,42
7,4.0,Giants,Mel Triplett 1 yard rush (Pat Summerall kick),14,42
8,4.0,Giants,Kyle Rote 10 yard pass from George Shaw (Pat Summerall kick),21,42
9,4.0,Eagles,Tommy McDonald 19 yard pass from Sonny Jurgensen (Bobby Walston kick),21,49
