,Quarter,Tm,Detail,RAM,GNB
0,1.0,Rams,"Safety, Williams blocked punt",2,0
1,1.0,Rams,Jack Morris 22 yard field goal,5,0
2,1.0,Rams,Del Shofner 26 yard pass from Billy Wade,11,0
3,2.0,Packers,Paul Hornung 14 yard field goal,11,3
4,2.0,Rams,Jack Morris 17 yard field goal,14,3
5,2.0,Packers,Paul Hornung 46 yard field goal,14,6
6,3.0,Rams,Ollie Matson 49 yard rush (Jack Morris kick),21,6
7,4.0,Rams,Joe Marconi 1 yard rush (Jack Morris kick),28,6
8,4.0,Rams,Red Phillips 53 yard pass from Billy Wade (Jack Morris kick),35,6
9,4.0,Rams,Del Shofner 25 yard pass from Billy Wade (Jack Morris kick),42,6
10,4.0,Rams,Jack Morris 33 yard field goal,45,6
