,Quarter,Tm,Detail,STL,RAM
0,1.0,Rams,Clendon Thomas 13 yard pass from Billy Wade (Danny Villanueva kick),0,7
1,2.0,Cardinals,Bobby Joe Conrad 12 yard field goal,3,7
2,2.0,Cardinals,John David Crow 18 yard pass from King Hill (Bobby Joe Conrad kick),10,7
3,2.0,Rams,Red Phillips 57 yard pass from Billy Wade (Danny Villanueva kick),10,14
4,3.0,Cardinals,John David Crow 52 yard pass from John Roach (Bobby Joe Conrad kick),17,14
5,3.0,Cardinals,Bobby Joe Conrad 14 yard field goal,20,14
6,3.0,Cardinals,"Safety, Wade tackled in end zone by Owens",22,14
7,3.0,Cardinals,Sonny Randle 37 yard pass from John Roach (Bobby Joe Conrad kick),29,14
8,4.0,Rams,Carroll Dale 54 yard pass from Frank Ryan (Danny Villanueva kick),29,21
9,4.0,Cardinals,Sonny Randle 57 yard pass from John Roach (Bobby Joe Conrad kick),36,21
10,4.0,Cardinals,Sonny Randle 24 yard pass from John Roach (Bobby Joe Conrad kick),43,21
