,Quarter,Tm,Detail,DAL,STL
0,1.0,Cowboys,Jerry Norton 94 yard field goal return (Sam Baker kick),7,0
1,2.0,Cowboys,Sam Baker 25 yard field goal,10,0
2,2.0,Cardinals,Taz Anderson 43 yard pass from Charley Johnson (Gerry Perry kick),10,7
3,2.0,Cowboys,Sam Baker 47 yard field goal,13,7
4,2.0,Cardinals,Bobby Joe Conrad 5 yard pass from Charley Johnson (Gerry Perry kick),13,14
5,2.0,Cowboys,Lee Folkins 20 yard pass from Eddie LeBaron (Sam Baker kick),20,14
6,3.0,Cardinals,Gerry Perry 42 yard field goal,20,17
7,3.0,Cardinals,Sonny Randle 74 yard pass from Charley Johnson (Gerry Perry kick),20,24
8,3.0,Cardinals,Taz Anderson 27 yard pass from Charley Johnson (Gerry Perry kick),20,31
9,4.0,Cardinals,John David Crow 16 yard rush (Gerry Perry kick),20,38
10,4.0,Cardinals,Bobby Joe Conrad 72 yard pass from Charley Johnson (Gerry Perry kick),20,45
11,4.0,Cardinals,Charley Johnson 2 yard rush (Gerry Perry kick),20,52
