,Quarter,Tm,Detail,DAL,NYG
0,1.0,Giants,Frank Gifford 47 yard pass from Y.A. Tittle (Don Chandler kick),0,7
1,1.0,Cowboys,Sam Baker 35 yard field goal,3,7
2,2.0,Giants,Joe Walton 10 yard pass from Y.A. Tittle (Don Chandler kick),3,14
3,2.0,Cowboys,Amos Marsh 8 yard rush (Sam Baker kick),10,14
4,2.0,Giants,Alex Webster 17 yard pass from Y.A. Tittle (Don Chandler kick),10,21
5,2.0,Cowboys,Frank Clarke 53 yard pass from Eddie LeBaron (Sam Baker kick),17,21
6,2.0,Giants,Alex Webster 7 yard pass from Y.A. Tittle (Don Chandler kick),17,28
7,2.0,Cowboys,Billy Howton 69 yard pass from Don Meredith (Sam Baker kick),24,28
8,3.0,Giants,Joe Walton 20 yard pass from Y.A. Tittle (Don Chandler kick),24,35
9,4.0,Cowboys,Billy Howton 16 yard pass from Don Meredith (Sam Baker kick),31,35
10,4.0,Giants,Joe Walton 8 yard pass from Y.A. Tittle,31,41
