,Quarter,Tm,Detail,GNB,MIN
0,1.0,Packers,Paul Hornung 3 yard rush (Paul Hornung kick),7,0
1,1.0,Packers,Jerry Kramer 14 yard field goal,10,0
2,2.0,Packers,Max McGee 15 yard pass from Bart Starr (Jerry Kramer kick),17,0
3,2.0,Packers,Jerry Kramer 35 yard field goal,20,0
4,2.0,Packers,Max McGee 55 yard pass from Bart Starr (Jerry Kramer kick),27,0
5,2.0,Vikings,Steve Stonebreaker 19 yard pass from Fran Tarkenton (Jim Christopherson kick),27,7
6,3.0,Packers,Boyd Dowler 18 yard pass from Bart Starr (Jerry Kramer kick),34,7
7,4.0,Vikings,Jerry Reichow 6 yard pass from Fran Tarkenton (Jim Christopherson kick),34,14
8,4.0,Vikings,Mel Triplett 1 yard rush (Jim Christopherson kick),34,21
9,4.0,Packers,Tom Moore 6 yard rush (Jerry Kramer kick),41,21
10,4.0,Packers,Elijah Pitts 7 yard rush (Jerry Kramer kick),48,21
