,Quarter,Tm,Detail,WAS,NYG
0,1.0,Redskins,Bobby Mitchell 44 yard pass from Norm Snead (Bob Khayat kick),7,0
1,1.0,Giants,Joe Morrison 22 yard pass from Y.A. Tittle (Don Chandler kick),7,7
2,2.0,Giants,Joe Walton 5 yard pass from Y.A. Tittle (Don Chandler kick),7,14
3,2.0,Redskins,Fred Dugan 24 yard pass from Norm Snead,13,14
4,2.0,Giants,Joe Morrison 1 yard pass from Y.A. Tittle (Don Chandler kick),13,21
5,3.0,Redskins,Bobby Mitchell 80 yard pass from Norm Snead (Bob Khayat kick),20,21
6,3.0,Giants,Del Shofner 53 yard pass from Y.A. Tittle (Don Chandler kick),20,28
7,3.0,Giants,Joe Walton 26 yard pass from Y.A. Tittle (Don Chandler kick),20,35
8,3.0,Giants,Frank Gifford 63 yard pass from Y.A. Tittle (Don Chandler kick),20,42
9,4.0,Giants,Joe Walton 6 yard pass from Y.A. Tittle (Don Chandler kick),20,49
10,4.0,Redskins,Norm Snead 1 yard rush (Bob Khayat kick),27,49
11,4.0,Redskins,Steve Junker 35 yard pass from Norm Snead (Bob Khayat kick),34,49
