,Quarter,Tm,Detail,MIN,CHI
0,1.0,Vikings,Charley Ferguson 23 yard pass from Fran Tarkenton (Jim Christopherson kick),7,0
1,2.0,Vikings,Jim Christopherson 38 yard field goal,10,0
2,2.0,Bears,John Adams 20 yard pass from Billy Wade (Roger LeClerc kick),10,7
3,3.0,Bears,Mike Ditka 7 yard pass from Billy Wade (Roger LeClerc kick),10,14
4,2.0,Vikings,Charley Ferguson 89 yard pass from Fran Tarkenton (Jim Christopherson kick),17,14
5,3.0,Vikings,Charley Ferguson 18 yard pass from Fran Tarkenton (Jim Christopherson kick),24,14
6,3.0,Bears,Angelo Coia 71 yard pass from Billy Wade (Roger LeClerc kick),24,21
7,3.0,Vikings,Jim Christopherson 38 yard field goal,27,21
8,4.0,Bears,Billy Wade 1 yard rush (Roger LeClerc kick),27,28
9,4.0,Vikings,Jim Christopherson 10 yard field goal,30,28
10,4.0,Bears,Roger LeClerc 17 yard field goal,30,31
