,Quarter,Tm,Detail,BAL,WAS
0,1.0,Colts,Jim Martin 9 yard field goal,3,0
1,2.0,Redskins,Bobby Mitchell 28 yard pass from Norm Snead (Bob Khayat kick),3,7
2,2.0,Colts,John Mackey 30 yard pass from Johnny Unitas (Jim Martin kick),10,7
3,2.0,Colts,Raymond Berry 2 yard pass from Johnny Unitas,16,7
4,3.0,Redskins,Dick James 3 yard rush,16,13
5,3.0,Colts,Jim Martin 37 yard field goal,19,13
6,4.0,Colts,Jerry Hill 10 yard rush (Jim Martin kick),26,13
7,4.0,Colts,Jimmy Orr 28 yard pass from Johnny Unitas (Jim Martin kick),33,13
8,4.0,Colts,Jim Martin 41 yard field goal,36,13
9,4.0,Redskins,Don Bosseler 1 yard rush (Bob Khayat kick),36,20
