,Quarter,Tm,Detail,WAS,PIT
0,1.0,Steelers,Ed Brown 1 yard rush (Lou Michaels kick),0,7
1,1.0,Redskins,Bob Khayat 49 yard field goal,3,7
2,2.0,Steelers,Dick Hoak 8 yard rush (Lou Michaels kick),3,14
3,2.0,Steelers,Lou Michaels 9 yard field goal,3,17
4,2.0,Redskins,Norm Snead 1 yard rush (Bob Khayat kick),10,17
5,2.0,Redskins,Dick James 36 yard pass from Norm Snead (Bob Khayat kick),17,17
6,3.0,Redskins,Dick James 5 yard rush (Bob Khayat kick),24,17
7,3.0,Steelers,Dick Hoak 1 yard rush (Lou Michaels kick),24,24
8,4.0,Redskins,Bob Khayat 15 yard field goal,27,24
9,4.0,Steelers,Dick Haley 24 yard interception return (Lou Michaels kick),27,31
10,4.0,Steelers,Buddy Dial 4 yard pass from Ed Brown (Lou Michaels kick),27,38
