,Quarter,Tm,Detail,WAS,BAL
0,1.0,Redskins,Pervis Atkins 17 yard rush (Jim Martin kick),7,0
1,1.0,Colts,Lou Michaels 25 yard field goal,7,3
2,2.0,Colts,Raymond Berry 30 yard pass from Johnny Unitas (Lou Michaels kick),7,10
3,2.0,Redskins,Jim Martin 25 yard field goal,10,10
4,3.0,Colts,Jerry Hill 7 yard rush (Lou Michaels kick),10,17
5,3.0,Redskins,Sonny Jurgensen 2 yard rush (Jim Martin kick),17,17
6,3.0,Colts,John Mackey 22 yard pass from Johnny Unitas (Lou Michaels kick),17,24
7,4.0,Colts,Lenny Moore 3 yard rush (Lou Michaels kick),17,31
8,4.0,Colts,Lenny Moore 1 yard rush (Lou Michaels kick),17,38
9,4.0,Colts,Neal Petties 15 yard pass from Tom Matte (Lou Michaels kick),17,45
