,Quarter,Tm,Detail,STL,CLE
0,1.0,Cardinals,John David Crow 22 yard pass from Charley Johnson (Jim Bakken kick),7,0
1,1.0,Browns,Lou Groza 32 yard field goal,7,3
2,1.0,Browns,Lou Groza 12 yard field goal,7,6
3,1.0,Cardinals,Jim Bakken 30 yard field goal,10,6
4,2.0,Browns,Lou Groza 37 yard field goal,10,9
5,2.0,Cardinals,Jim Bakken 51 yard field goal,13,9
6,2.0,Browns,Paul Warfield 40 yard pass from Frank Ryan (Lou Groza kick),13,16
7,3.0,Cardinals,Sonny Randle 38 yard pass from Charley Johnson (Jim Bakken kick),20,16
8,3.0,Cardinals,Jim Bakken 44 yard field goal,23,16
9,3.0,Browns,Gary Collins 7 yard pass from Frank Ryan (Lou Groza kick),23,23
10,4.0,Cardinals,Sonny Randle 50 yard pass from Charley Johnson (Jim Bakken kick),30,23
11,4.0,Browns,Lou Groza 25 yard field goal,30,26
12,4.0,Browns,Jim Brown 1 yard rush (Lou Groza kick),30,33
13,4.0,Cardinals,Jim Bakken 28 yard field goal,33,33
