,Quarter,Tm,Detail,PHI,BAL
0,1.0,Colts,Lenny Moore 52 yard pass from Johnny Unitas (Lou Michaels kick),0,7
1,1.0,Colts,Jerry Logan 36 yard interception return (Lou Michaels kick),0,14
2,1.0,Eagles,Pete Retzlaff 15 yard pass from Norm Snead (Sam Baker kick),7,14
3,2.0,Colts,Lou Michaels 46 yard field goal,7,17
4,2.0,Eagles,Ollie Matson 3 yard rush (Sam Baker kick),14,17
5,2.0,Eagles,Sam Baker 37 yard field goal,17,17
6,3.0,Colts,Lou Michaels 13 yard field goal,17,20
7,3.0,Eagles,Ray Poage 7 yard pass from Norm Snead (Sam Baker kick),24,20
8,4.0,Colts,Jimmy Orr 22 yard pass from Johnny Unitas (Lou Michaels kick),24,27
9,4.0,Colts,Lenny Moore 1 yard rush (Lou Michaels kick),24,34
