,Quarter,Tm,Detail,DAL,WAS
0,1.0,Cowboys,Perry Lee Dunn 6 yard pass from Don Meredith (Danny Villanueva kick),7,0
1,1.0,Cowboys,Cornell Green 5 yard fumble return (Danny Villanueva kick),14,0
2,2.0,Cowboys,Mike Gaechter 60 yard blocked field goal return (Danny Villanueva kick),21,0
3,2.0,Redskins,Charley Taylor 26 yard pass from Sonny Jurgensen,21,6
4,3.0,Cowboys,Danny Villanueva 30 yard field goal,24,6
5,3.0,Redskins,Sonny Jurgensen 1 yard rush (Bob Jencks kick),24,13
6,4.0,Redskins,Dan Lewis 2 yard rush (Bob Jencks kick),24,20
7,4.0,Cowboys,Frank Clarke 53 yard pass from Don Meredith (Danny Villanueva kick),31,20
8,4.0,Redskins,Bobby Mitchell 10 yard pass from Sonny Jurgensen (Bob Jencks kick),31,27
9,4.0,Redskins,Angelo Coia 5 yard pass from Sonny Jurgensen (Bob Jencks kick),31,34
