,Quarter,Tm,Detail,GNB,BAL
0,1.0,Colts,Lou Michaels 14 yard field goal,0,3
1,1.0,Packers,Paul Hornung 2 yard rush (Don Chandler kick),7,3
2,1.0,Packers,Paul Hornung 50 yard pass from Bart Starr (Don Chandler kick),14,3
3,2.0,Colts,Lou Michaels 45 yard field goal,14,6
4,2.0,Colts,Lenny Moore 3 yard rush (Lou Michaels kick),14,13
5,2.0,Packers,Boyd Dowler 10 yard pass from Bart Starr (Don Chandler kick),21,13
6,3.0,Packers,Paul Hornung 9 yard rush (Don Chandler kick),28,13
7,3.0,Packers,Paul Hornung 3 yard rush (Don Chandler kick),35,13
8,4.0,Colts,Jerry Hill 1 yard rush (Lou Michaels kick),35,20
9,4.0,Colts,Raymond Berry 5 yard pass from Gary Cuozzo (Lou Michaels kick),35,27
10,4.0,Packers,Paul Hornung 65 yard pass from Bart Starr (Don Chandler kick),42,27
