,Quarter,Tm,Detail,STL,PHI
0,1.0,Cardinals,Jackie Smith 70 yard pass from Charley Johnson (Jim Bakken kick),7,0
1,1.0,Eagles,Earl Gros 1 yard rush (Sam Baker kick),7,7
2,1.0,Cardinals,Jim Bakken 22 yard field goal,10,7
3,1.0,Eagles,Sam Baker 28 yard field goal,10,10
4,1.0,Cardinals,Bobby Joe Conrad 20 yard pass from Charley Johnson (Jim Bakken kick),17,10
5,2.0,Eagles,Timmy Brown 18 yard pass from Norm Snead (Sam Baker kick),17,17
6,2.0,Cardinals,Jim Bakken 20 yard field goal,20,17
7,2.0,Eagles,Sam Baker 23 yard field goal,20,20
8,3.0,Eagles,Timmy Brown 3 yard rush (Sam Baker kick),20,27
9,4.0,Cardinals,Sonny Randle 18 yard pass from Charley Johnson (Jim Bakken kick),27,27
10,4.0,Eagles,Ray Poage 38 yard pass from Norm Snead (Sam Baker kick),27,34
