,Quarter,Tm,Detail,DET,MIN
0,1.0,Vikings,Gordie Smith 19 yard pass from Fran Tarkenton (Fred Cox kick),0,7
1,1.0,Lions,Jim Gibbons 3 yard pass from Milt Plum (Wayne Walker kick),7,7
2,2.0,Vikings,Fred Cox 28 yard field goal,7,10
3,2.0,Lions,Amos Marsh 15 yard pass from Milt Plum (Wayne Walker kick),14,10
4,2.0,Lions,Milt Plum 1 yard rush (Wayne Walker kick),21,10
5,3.0,Vikings,Tommy Mason 3 yard rush (Fred Cox kick),21,17
6,3.0,Vikings,Fred Cox 46 yard field goal,21,20
7,3.0,Vikings,"Safety, Plum tackled in end zone by Eller",21,22
8,4.0,Vikings,Dave Osborn 3 yard rush (Fred Cox kick),21,29
9,4.0,Lions,Wayne Walker 35 yard field goal,24,29
10,4.0,Lions,Amos Marsh 48 yard pass from Milt Plum (Wayne Walker kick),31,29
