,Quarter,Tm,Detail,STL,WAS
0,1.0,Cardinals,Bobby Joe Conrad 36 yard pass from Charley Johnson (Jim Bakken kick),7,0
1,2.0,Redskins,Bob Jencks 39 yard field goal,7,3
2,2.0,Cardinals,Jim Bakken 18 yard field goal,10,3
3,3.0,Cardinals,Jim Bakken 42 yard field goal,13,3
4,3.0,Redskins,Bobby Mitchell 80 yard pass from Dick Shiner (Bob Jencks kick),13,10
5,3.0,Cardinals,Jim Bakken 28 yard field goal,16,10
6,3.0,Cardinals,Don Brumm 10 yard defensive fumble return (Jim Bakken kick),23,10
7,4.0,Cardinals,Bill Triplett 3 yard rush (Jim Bakken kick),30,10
8,4.0,Cardinals,Prentice Gautt 7 yard rush (Jim Bakken kick),37,10
9,4.0,Redskins,Billy Hunter 29 yard pass from Dick Shiner,37,16
