,Quarter,Tm,Detail,NYG,WAS
0,1.0,Redskins,A.D. Whitfield 5 yard pass from Sonny Jurgensen,0,6
1,1.0,Redskins,A.D. Whitfield 63 yard rush (Charlie Gogolak kick),0,13
2,2.0,Redskins,Brig Owens 62 yard defensive fumble return (Charlie Gogolak kick),0,20
3,2.0,Giants,Allen Jacobs 6 yard rush (Pete Gogolak kick),7,20
4,2.0,Redskins,A.D. Whitfield 1 yard rush (Charlie Gogolak kick),7,27
5,2.0,Redskins,Joe Don Looney 9 yard rush (Charlie Gogolak kick),7,34
6,2.0,Giants,Gary Wood 1 yard rush (Pete Gogolak kick),14,34
7,3.0,Giants,Joe Morrison 41 yard pass from Gary Wood (Pete Gogolak kick),21,34
8,3.0,Redskins,Charley Taylor 32 yard pass from Sonny Jurgensen (Charlie Gogolak kick),21,41
9,3.0,Giants,Homer Jones 50 yard pass from Gary Wood (Pete Gogolak kick),28,41
10,3.0,Redskins,Charley Taylor 74 yard pass from Sonny Jurgensen (Charlie Gogolak kick),28,48
11,4.0,Redskins,Rickie Harris 52 yard punt return (Charlie Gogolak kick),28,55
12,4.0,Redskins,Brig Owens 60 yard interception return (Charlie Gogolak kick),28,62
13,4.0,Giants,Aaron Thomas 18 yard pass from Tom Kennedy,34,62
14,4.0,Giants,Dan Lewis 1 yard rush (Pete Gogolak kick),41,62
15,4.0,Redskins,Bobby Mitchell 45 yard rush (Charlie Gogolak kick),41,69
16,4.0,Redskins,Charlie Gogolak 29 yard field goal,41,72
