,Quarter,Tm,Detail,MIN,CHI
0,1.0,Bears,Gale Sayers 90 yard kickoff return (Roger LeClerc kick),0,7
1,1.0,Vikings,Tom Hall 1 yard pass from Fran Tarkenton (Fred Cox kick),7,7
2,1.0,Bears,Gale Sayers 3 yard rush (Roger LeClerc kick),7,14
3,1.0,Vikings,Fran Tarkenton 15 yard rush (Fred Cox kick),14,14
4,2.0,Bears,Roger LeClerc 36 yard field goal,14,17
5,2.0,Bears,Jim Jones 80 yard pass from Rudy Bukich (Roger LeClerc kick),14,24
6,2.0,Bears,Rudy Bukich 12 yard rush (Roger LeClerc kick),14,31
7,3.0,Vikings,Preston Carpenter 6 yard pass from Fran Tarkenton (Fred Cox kick),21,31
8,3.0,Vikings,Dave Osborn 3 yard pass from Fran Tarkenton (Fred Cox kick),28,31
9,3.0,Bears,Jon Arnett 13 yard rush (Roger LeClerc kick),28,38
10,4.0,Bears,Roger LeClerc 17 yard field goal,28,41
