,Quarter,Tm,Detail,DAL,ATL
0,1.0,Falcons,Junior Coffey 1 yard rush (Lou Kirouac kick),0,7
1,1.0,Cowboys,Danny Villanueva 22 yard field goal,3,7
2,2.0,Cowboys,Dan Reeves 2 yard rush (Danny Villanueva kick),10,7
3,2.0,Cowboys,Dan Reeves 11 yard pass from Don Meredith (Danny Villanueva kick),17,7
4,3.0,Falcons,Randy Johnson 1 yard rush (Lou Kirouac kick),17,14
5,3.0,Cowboys,Bob Hayes 49 yard pass from Don Meredith (Danny Villanueva kick),24,14
6,3.0,Cowboys,"Safety, Townes tackled Johnson in end zone",26,14
7,3.0,Cowboys,Don Perkins 1 yard rush (Danny Villanueva kick),33,14
8,4.0,Cowboys,Chuck Howley 97 yard defensive fumble return (Danny Villanueva kick),40,14
9,4.0,Cowboys,Frank Clarke 10 yard pass from Craig Morton (Danny Villanueva kick),47,14
