,Quarter,Tm,Detail,PIT,DAL
0,1.0,Steelers,Marv Woodson 56 yard interception return (Mike Clark kick),7,0
1,2.0,Cowboys,Dan Reeves 1 yard pass from Don Meredith (Danny Villanueva kick),7,7
2,2.0,Cowboys,Lee Roy Jordan 49 yard interception return (Danny Villanueva kick),7,14
3,2.0,Cowboys,Danny Villanueva 12 yard field goal,7,17
4,2.0,Cowboys,Dan Reeves 8 yard pass from Don Meredith (Danny Villanueva kick),7,24
5,2.0,Steelers,Cannonball Butler 93 yard kickoff return (Mike Clark kick),14,24
6,3.0,Cowboys,Mel Renfro 87 yard kickoff return (Danny Villanueva kick),14,31
7,3.0,Cowboys,Frank Clarke 22 yard pass from Don Meredith (Danny Villanueva kick),14,38
8,3.0,Steelers,John Hilton 4 yard pass from Ron Smith (Mike Clark kick),21,38
9,3.0,Cowboys,Pete Gent 84 yard pass from Don Meredith (Danny Villanueva kick),21,45
10,4.0,Cowboys,J.D. Smith 1 yard rush (Danny Villanueva kick),21,52
