,Quarter,Tm,Detail,PHI,RAM
0,1.0,Rams,Bruce Gossett 21 yard field goal,0,3
1,1.0,Eagles,Sam Baker 9 yard field goal,3,3
2,2.0,Rams,Bruce Gossett 12 yard field goal,3,6
3,2.0,Rams,Eddie Meador 25 yard interception return (Bruce Gossett kick),3,13
4,2.0,Eagles,Norm Snead 6 yard rush (Sam Baker kick),10,13
5,2.0,Rams,Bernie Casey 8 yard pass from Roman Gabriel (Bruce Gossett kick),10,20
6,2.0,Rams,Bruce Gossett 27 yard field goal,10,23
7,3.0,Rams,Bruce Gossett 31 yard field goal,10,26
8,4.0,Rams,Bucky Pope 48 yard pass from Roman Gabriel (Bruce Gossett kick),10,33
9,4.0,Eagles,Jim Nettles special teams fumble recovery in end zone (Sam Baker kick),17,33
