,Quarter,Tm,Detail,SFO,PIT
0,1.0,49ers,Ken Willard 1 yard rush (Tommy Davis kick),7,0
1,1.0,Steelers,Roy Jefferson 10 yard pass from Dick Shiner (Booth Lusteg kick),7,7
2,1.0,49ers,Ken Willard 3 yard rush (Tommy Davis kick),14,7
3,2.0,49ers,John David Crow 54 yard pass from John Brodie (Tommy Davis kick),21,7
4,2.0,Steelers,Rich Kotite 20 yard pass from Dick Shiner (Booth Lusteg kick),21,14
5,2.0,49ers,Gary Lewis 16 yard pass from John Brodie (Tommy Davis kick),28,14
6,2.0,49ers,Kermit Alexander 66 yard interception return (Tommy Davis kick),35,14
7,3.0,49ers,Tommy Davis 15 yard field goal,38,14
8,4.0,Steelers,Rich Kotite 4 yard pass from Dick Shiner (Booth Lusteg kick),38,21
9,4.0,Steelers,Roy Jefferson 5 yard pass from Dick Shiner (Booth Lusteg kick),38,28
10,4.0,49ers,Bill Belk 6 yard interception return (Tommy Davis kick),45,28
