,Quarter,Tm,Detail,NYG,PHI
0,1.0,Giants,Randy Minniear 2 yard rush (Pete Gogolak kick),7,0
1,1.0,Eagles,Alvin Haymond 98 yard kickoff return,7,6
2,1.0,Eagles,Izzy Lang 23 yard pass from John Huarte,7,12
3,2.0,Giants,Spider Lockhart 72 yard interception return (Pete Gogolak kick),14,12
4,2.0,Giants,Pete Gogolak 20 yard field goal,17,12
5,3.0,Eagles,Tom Woodeshick 54 yard rush (Sam Baker kick),17,19
6,3.0,Giants,Pete Gogolak 30 yard field goal,20,19
7,3.0,Giants,Joe Morrison 12 yard pass from Fran Tarkenton (Pete Gogolak kick),27,19
8,4.0,Giants,Bobby Duhon 1 yard rush (Pete Gogolak kick),34,19
9,4.0,Eagles,Ben Hawkins 92 yard pass from King Hill,34,25
