,Quarter,Tm,Detail,MIN,CHI
0,1.0,Vikings,Jim Lindsey 1 yard rush (Fred Cox kick),7,0
1,1.0,Bears,Bob Wallace 12 yard pass from Virgil Carter (Mac Percival kick),7,7
2,2.0,Bears,Mac Percival 12 yard field goal,7,10
3,2.0,Vikings,Gene Washington 54 yard pass from Joe Kapp (Fred Cox kick),14,10
4,2.0,Bears,Mac Percival 42 yard field goal,14,13
5,3.0,Bears,Dick Gordon 50 yard pass from Virgil Carter (Mac Percival kick),14,20
6,4.0,Vikings,Fred Cox 38 yard field goal,17,20
7,4.0,Bears,Mac Percival 21 yard field goal,17,23
8,4.0,Vikings,Gene Washington 25 yard pass from Joe Kapp (Fred Cox kick),24,23
9,4.0,Bears,Mac Percival 47 yard field goal,24,26
