,Quarter,Tm,Detail,PIT,MIN
0,1.0,Vikings,Paul Krause 77 yard interception return (Fred Cox kick),0,7
1,2.0,Vikings,Fred Cox 22 yard field goal,0,10
2,2.0,Steelers,Don McCall 101 yard kickoff return (Gene Mingo kick),7,10
3,2.0,Vikings,Bill Brown 1 yard rush (Fred Cox kick),7,17
4,3.0,Vikings,John Henderson 28 yard pass from Gary Cuozzo (Fred Cox kick),7,24
5,3.0,Steelers,Jon Henderson 10 yard pass from Terry Hanratty (Gene Mingo kick),14,24
6,3.0,Vikings,John Beasley 60 yard special teams fumble return (Fred Cox kick),14,31
7,4.0,Vikings,Oscar Reed 6 yard pass from Gary Cuozzo (Fred Cox kick),14,38
8,4.0,Vikings,Oscar Reed 1 yard rush (Fred Cox kick),14,45
9,4.0,Vikings,John Henderson 7 yard pass from Bob Lee (Fred Cox kick),14,52
