,Quarter,Tm,Detail,NYJ,HOU
0,1.0,Jets,Emerson Boozer 2 yard rush (Jim Turner kick),7,0
1,1.0,Jets,George Sauer 21 yard pass from Joe Namath (Jim Turner kick),14,0
2,2.0,Jets,Bill Mathis 5 yard pass from Joe Namath (Jim Turner kick),21,0
3,2.0,Oilers,Jerry LeVias 20 yard pass from Bob Davis (Roy Gerela kick),21,7
4,2.0,Oilers,Roy Gerela 24 yard field goal,21,10
5,3.0,Jets,Jim Turner 10 yard field goal,24,10
6,3.0,Jets,Jim Turner 38 yard field goal,27,10
7,4.0,Jets,Matt Snell 1 yard rush (Jim Turner kick),34,10
8,4.0,Oilers,Johnny Peacock 27 yard defensive fumble return (two point run successful),34,18
9,4.0,Oilers,Rich Johnson 1 yard pass from Bob Davis (two point pass successful),34,26
