,Quarter,Tm,Detail,CIN,OAK
0,1.0,Raiders,Warren Wells 51 yard pass from Daryle Lamonica (George Blanda kick),0,7
1,2.0,Raiders,Warren Wells 16 yard pass from Daryle Lamonica (George Blanda kick),0,14
2,2.0,Bengals,Paul Robinson 1 yard rush (Horst Muhlmann kick),7,14
3,2.0,Raiders,Fred Biletnikoff 16 yard pass from Daryle Lamonica (George Blanda kick),7,21
4,3.0,Raiders,George Blanda 17 yard field goal,7,24
5,3.0,Bengals,Horst Muhlmann 50 yard field goal,10,24
6,4.0,Raiders,George Blanda 28 yard field goal,10,27
7,4.0,Bengals,Paul Robinson 1 yard rush (Horst Muhlmann kick),17,27
8,4.0,Raiders,George Blanda 31 yard field goal,17,30
9,4.0,Raiders,Warren Wells 16 yard pass from George Blanda (George Blanda kick),17,37
