,Quarter,Tm,Detail,BAL,MIN
0,1.0,Vikings,Dave Osborn 18 yard pass from Joe Kapp (Fred Cox kick),0,7
1,1.0,Vikings,Gene Washington 83 yard pass from Joe Kapp (Fred Cox kick),0,14
2,2.0,Colts,Tom Matte 42 yard pass from Earl Morrall (Lou Michaels kick),7,14
3,2.0,Vikings,Bob Grim 21 yard pass from Joe Kapp (Fred Cox kick),7,21
4,2.0,Vikings,Fred Cox 40 yard field goal,7,24
5,2.0,Vikings,Kent Kramer 13 yard pass from Joe Kapp (Fred Cox kick),7,31
6,3.0,Vikings,Gene Washington 42 yard pass from Joe Kapp (Fred Cox kick),7,38
7,3.0,Colts,Tom Matte 4 yard rush (Lou Michaels kick),14,38
8,3.0,Vikings,John Beasley 1 yard pass from Joe Kapp (Fred Cox kick),14,45
9,4.0,Vikings,Jim Lindsey 15 yard pass from Joe Kapp (Fred Cox kick),14,52
