,Quarter,Tm,Detail,NOR,RAM
0,1.0,Rams,Jack Snow 35 yard pass from Roman Gabriel (Bruce Gossett kick),0,7
1,1.0,Saints,Danny Abramowicz 12 yard pass from Billy Kilmer (Tom Dempsey kick),7,7
2,1.0,Rams,Bruce Gossett 35 yard field goal,7,10
3,1.0,Rams,"Safety, center pass out of end zone",7,12
4,2.0,Rams,Jack Snow 24 yard pass from Roman Gabriel (Bruce Gossett kick),7,19
5,2.0,Rams,Bruce Gossett 44 yard field goal,7,22
6,2.0,Saints,Andy Livingston 16 yard pass from Billy Kilmer (Tom Dempsey kick),14,22
7,2.0,Saints,Tom Dempsey 55 yard field goal,17,22
8,3.0,Rams,Billy Truax 1 yard pass from Roman Gabriel (Bruce Gossett kick),17,29
9,3.0,Rams,Jack Snow 74 yard pass from Roman Gabriel (Bruce Gossett kick),17,36
