,Quarter,Tm,Detail,WAS,BAL
0,1.0,Redskins,Curt Knight 34 yard field goal,3,0
1,1.0,Colts,Lou Michaels 49 yard field goal,3,3
2,2.0,Colts,Lou Michaels 12 yard field goal,3,6
3,2.0,Colts,Tom Matte 7 yard rush (Lou Michaels kick),3,13
4,3.0,Redskins,Charley Taylor 19 yard pass from Sonny Jurgensen (Curt Knight kick),10,13
5,3.0,Colts,Jerry Hill 1 yard rush (Lou Michaels kick),10,20
6,3.0,Colts,Tom Matte 2 yard rush (Lou Michaels kick),10,27
7,4.0,Colts,Tom Matte 6 yard rush (Lou Michaels kick),10,34
8,4.0,Redskins,Henry Dyer 69 yard pass from Sonny Jurgensen (Curt Knight kick),17,34
9,4.0,Colts,Sam Havrilak 10 yard rush (Lou Michaels kick),17,41
