,Quarter,Tm,Detail,CIN,KAN
0,1.0,Chiefs,Wendell Hayes 4 yard rush (Jan Stenerud kick),0,7
1,2.0,Bengals,Horst Muhlmann 35 yard field goal,3,7
2,2.0,Chiefs,Robert Holmes 27 yard pass from Mike Livingston (Jan Stenerud kick),3,14
3,2.0,Bengals,Bob Trumpy 59 yard pass from Sam Wyche (Horst Muhlmann kick),10,14
4,2.0,Bengals,"Safety, KC fumble in end zone",12,14
5,2.0,Chiefs,Gloster Richardson 10 yard pass from Mike Livingston (Jan Stenerud kick),12,21
6,3.0,Chiefs,Mike Garrett 10 yard pass from Mike Livingston (Jan Stenerud kick),12,28
7,3.0,Bengals,Harry Gunner 70 yard interception return (Horst Muhlmann kick),19,28
8,4.0,Bengals,Horst Muhlmann 27 yard field goal,22,28
9,4.0,Chiefs,Warren McVea 80 yard rush (Jan Stenerud kick),22,35
10,4.0,Chiefs,Goldie Sellers 21 yard special teams fumble return (Jan Stenerud kick),22,42
