,Quarter,Tm,Detail,CLE,MIN
0,1.0,Vikings,Gene Washington 16 yard pass from Joe Kapp (Fred Cox kick),0,7
1,1.0,Vikings,Fred Cox 32 yard field goal,0,10
2,2.0,Vikings,Gene Washington 10 yard pass from Joe Kapp (Fred Cox kick),0,17
3,2.0,Browns,Don Cockroft 28 yard field goal,3,17
4,2.0,Vikings,Fred Cox 28 yard field goal,3,20
5,2.0,Vikings,Gene Washington 1 yard pass from Joe Kapp (Fred Cox kick),3,27
6,3.0,Vikings,Dave Osborn 5 yard rush (Fred Cox kick),3,34
7,4.0,Vikings,Clint Jones 1 yard rush (Fred Cox kick),3,41
8,4.0,Vikings,Fred Cox 32 yard field goal,3,44
9,4.0,Vikings,Jim Lindsey 2 yard rush (Fred Cox kick),3,51
