,Quarter,Tm,Detail,CIN,HOU
0,1.0,Bengals,Bob Trumpy 44 yard pass from Greg Cook (Horst Muhlmann kick),7,0
1,2.0,Oilers,Don Trull 1 yard rush (Roy Gerela kick),7,7
2,2.0,Bengals,Bob Trumpy 70 yard pass from Greg Cook (Horst Muhlmann kick),14,7
3,2.0,Oilers,Don Trull 4 yard rush (Roy Gerela kick),14,14
4,3.0,Bengals,Eric Crabtree 70 yard pass from Greg Cook (Horst Muhlmann kick),21,14
5,3.0,Oilers,Jim Beirne 37 yard pass from Don Trull (Roy Gerela kick),21,21
6,4.0,Bengals,Bob Trumpy 14 yard pass from Greg Cook (Horst Muhlmann kick),28,21
7,4.0,Oilers,Jim Beirne 34 yard pass from Don Trull (Roy Gerela kick),28,28
8,4.0,Oilers,Roy Gerela 50 yard field goal,28,31
9,4.0,Bengals,Horst Muhlmann 18 yard field goal,31,31
