,Quarter,Tm,Detail,NOR,RAM
0,1.0,Saints,Tom Dempsey 24 yard field goal,3,0
1,1.0,Rams,Les Josephson 6 yard rush (David Ray kick),3,7
2,2.0,Rams,Jack Snow 37 yard pass from Roman Gabriel (David Ray kick),3,14
3,2.0,Rams,Les Josephson 2 yard rush (David Ray kick),3,21
4,2.0,Saints,Tom Dempsey 50 yard field goal,6,21
5,3.0,Rams,David Ray 45 yard field goal,6,24
6,3.0,Saints,Tom Dempsey 54 yard field goal,9,24
7,4.0,Rams,Billy Truax 11 yard pass from Roman Gabriel (David Ray kick),9,31
8,4.0,Saints,Danny Abramowicz 4 yard pass from Edd Hargett (Tom Dempsey kick),16,31
9,4.0,Rams,David Ray 37 yard field goal,16,34
