,Quarter,Tm,Detail,KAN,BAL
0,1.0,Chiefs,Gloster Richardson 48 yard pass from Len Dawson (Jan Stenerud kick),7,0
1,1.0,Chiefs,Jan Stenerud 28 yard field goal,10,0
2,2.0,Chiefs,Robert Holmes 13 yard pass from Len Dawson (Jan Stenerud kick),17,0
3,2.0,Chiefs,Johnny Robinson 46 yard defensive fumble return (Jan Stenerud kick),24,0
4,2.0,Chiefs,Frank Pitts 54 yard pass from Len Dawson (Jan Stenerud kick),31,0
5,2.0,Colts,Roy Jefferson 3 yard pass from Earl Morrall (Jim O'Brien kick),31,7
6,3.0,Colts,Jim O'Brien 26 yard field goal,31,10
7,3.0,Chiefs,Jan Stenerud 17 yard field goal,34,10
8,4.0,Chiefs,Frank Pitts 4 yard pass from Len Dawson (Jan Stenerud kick),41,10
9,4.0,Colts,Eddie Hinton 21 yard pass from Earl Morrall (Jim O'Brien kick),41,17
10,4.0,Colts,Tom Mitchell 2 yard pass from Earl Morrall (Jim O'Brien kick),41,24
11,4.0,Chiefs,Jan Stenerud 48 yard field goal,44,24
