,Quarter,Tm,Detail,NOR,GNB
0,1.0,Saints,Charlie Durkee 12 yard field goal,3,0
1,1.0,Packers,Donny Anderson 3 yard rush (Tim Webster kick),3,7
2,2.0,Saints,Charlie Durkee 12 yard field goal,6,7
3,3.0,Saints,Charlie Durkee 35 yard field goal,9,7
4,3.0,Saints,Charlie Durkee 26 yard field goal,12,7
5,4.0,Saints,Jim Strong 1 yard rush (Charlie Durkee kick),19,7
6,4.0,Packers,Dave Hampton 90 yard kickoff return (Tim Webster kick),19,14
7,4.0,Saints,Charlie Durkee 11 yard field goal,22,14
8,4.0,Saints,Doug Wyatt 55 yard interception return (Charlie Durkee kick),29,14
9,4.0,Packers,Rich McGeorge 40 yard pass from Zeke Bratkowski (Tim Webster kick),29,21
