,Quarter,Tm,Detail,CIN,CLE
0,1.0,Browns,Leroy Kelly 1 yard rush (Don Cockroft kick),0,7
1,1.0,Bengals,Horst Muhlmann 46 yard field goal,3,7
2,1.0,Bengals,Doug Dressler 4 yard rush (Horst Muhlmann kick),10,7
3,2.0,Bengals,Fred Willis 9 yard rush (Horst Muhlmann kick),17,7
4,2.0,Bengals,Horst Muhlmann 24 yard field goal,20,7
5,2.0,Browns,Fair Hooker 39 yard pass from Bill Nelsen (Don Cockroft kick),20,14
6,3.0,Browns,Frank Pitts 53 yard pass from Bill Nelsen (Don Cockroft kick),20,21
7,4.0,Bengals,Essex Johnson 86 yard rush (Horst Muhlmann kick),27,21
8,4.0,Browns,Don Cockroft 12 yard field goal,27,24
9,4.0,Browns,Leroy Kelly 4 yard rush (Don Cockroft kick),27,31
