,Quarter,Tm,Detail,WAS,RAM
0,1.0,Rams,Kermit Alexander 82 yard interception return (David Ray kick),0,7
1,1.0,Redskins,Roy Jefferson 70 yard pass from Billy Kilmer (Curt Knight kick),7,7
2,1.0,Rams,David Ray 32 yard field goal,7,10
3,2.0,Redskins,Curt Knight 52 yard field goal,10,10
4,2.0,Redskins,Clifton McNeil 32 yard pass from Billy Kilmer (Curt Knight kick),17,10
5,2.0,Redskins,Larry Brown 1 yard rush (Curt Knight kick),24,10
6,3.0,Redskins,Roy Jefferson 5 yard pass from Billy Kilmer (Curt Knight kick),31,10
7,3.0,Rams,Bob Klein 3 yard pass from Roman Gabriel (David Ray kick),31,17
8,4.0,Rams,Willie Ellison 1 yard rush (David Ray kick),31,24
9,4.0,Redskins,Speedy Duncan 46 yard interception return (Curt Knight kick),38,24
