,Quarter,Tm,Detail,NYJ,DET
0,1.0,Lions,Errol Mann 15 yard field goal,0,3
1,2.0,Jets,John Riggins 1 yard rush (Bobby Howfield kick),7,3
2,2.0,Lions,Larry Walton 34 yard pass from Greg Landry (Errol Mann kick),7,10
3,2.0,Lions,Greg Landry 1 yard rush (Errol Mann kick),7,17
4,2.0,Jets,Bobby Howfield 13 yard field goal,10,17
5,2.0,Lions,Errol Mann 21 yard field goal,10,20
6,3.0,Jets,Bobby Howfield 20 yard field goal,13,20
7,3.0,Jets,Rich Caster 33 yard pass from Joe Namath (Bobby Howfield kick),20,20
8,4.0,Lions,Errol Mann 37 yard field goal,20,23
9,4.0,Lions,Greg Landry 6 yard rush (Errol Mann kick),20,30
10,4.0,Lions,Altie Taylor 38 yard rush (Errol Mann kick),20,37
