,Quarter,Tm,Detail,WAS,DAL
0,1.0,Cowboys,Calvin Hill 10 yard rush (Toni Fritsch kick),0,7
1,1.0,Cowboys,Calvin Hill 26 yard pass from Craig Morton (Toni Fritsch kick),0,14
2,2.0,Cowboys,Walt Garrison 25 yard rush (Toni Fritsch kick),0,21
3,2.0,Redskins,Curt Knight 16 yard field goal,3,21
4,2.0,Cowboys,Craig Morton 12 yard rush (Toni Fritsch kick),3,28
5,3.0,Redskins,Charley Taylor 10 yard pass from Billy Kilmer (Curt Knight kick),10,28
6,3.0,Cowboys,Toni Fritsch 36 yard field goal,10,31
7,4.0,Redskins,Roy Jefferson 10 yard pass from Billy Kilmer (Curt Knight kick),17,31
8,4.0,Redskins,Charley Taylor 6 yard pass from Billy Kilmer (Curt Knight kick),24,31
9,4.0,Cowboys,Toni Fritsch 26 yard field goal,24,34
