,Quarter,Tm,Detail,NYJ,NWE
0,1.0,Jets,John Riggins 6 yard rush (Bobby Howfield kick),7,0
1,2.0,Patriots,Charlie Gogolak 36 yard field goal,7,3
2,2.0,Patriots,Charlie Gogolak 25 yard field goal,7,6
3,2.0,Jets,Emerson Boozer 37 yard rush (Bobby Howfield kick),14,6
4,2.0,Jets,Rich Caster 27 yard pass from Joe Namath (Bobby Howfield kick),21,6
5,3.0,Patriots,Carl Garrett 41 yard rush (Charlie Gogolak kick),21,13
6,4.0,Jets,Bobby Howfield 37 yard field goal,24,13
7,4.0,Jets,Emerson Boozer 23 yard rush (Bobby Howfield kick),31,13
8,4.0,Jets,Emerson Boozer 8 yard rush (Bobby Howfield kick),38,13
9,4.0,Jets,Bobby Howfield 37 yard field goal,41,13
