,Quarter,Tm,Detail,SFO,GNB
0,1.0,Packers,John Brockington 48 yard pass from Scott Hunter (Chester Marcol kick),0,7
1,1.0,49ers,Vic Washington 2 yard rush (Bruce Gossett kick),7,7
2,2.0,Packers,John Brockington 30 yard rush (Chester Marcol kick),7,14
3,3.0,Packers,John Brockington 14 yard rush (Chester Marcol kick),7,21
4,3.0,Packers,Chester Marcol 35 yard field goal,7,24
5,3.0,49ers,Bruce Gossett 50 yard field goal,10,24
6,4.0,49ers,Gene Washington 62 yard pass from Steve Spurrier (Bruce Gossett kick),17,24
7,4.0,Packers,Chester Marcol 40 yard field goal,17,27
8,4.0,49ers,Gene Washington 34 yard pass from Steve Spurrier (Bruce Gossett kick),24,27
9,4.0,Packers,Ken Ellis 35 yard interception return (Chester Marcol kick),24,34
